Strategy,Factor,PC,Dev_Sharpe,Dev_Early_SR,Dev_Late_SR,Stability,Stock_TO,PC_TO,Total_TO,TC_Real_Sharpe,Break_Even_TC,DoF,MaxDD,PctPos,r_Performance,r_Stability,r_TC_Robustness,r_Capacity,r_Parsimony,Composite
Top3EW+Momentum,Top3EW,Momentum,0.41553790586993633,0.28526305866458906,0.5742693824613528,0.4967408456322964,0.1531772715472313,0.10387055875576913,0.25704783030300044,0.315801938046098,187.48708386903286,2,-0.21299399120198714,0.576271186440678,0.4125,0.4125,0.3125,0.05,0.55625,0.366875
Top3ICwt+EqualWeight,Top3ICwt,EqualWeight,0.3188068383105059,0.13077749354398455,0.5668953751072937,0.23069070464586677,0.1254649517494697,0.0,0.1254649517494697,0.2703733278307697,296.20623369794896,2,-0.24122879227515448,0.559322033898305,0.2,0.025,0.2125,0.9125,0.55625,0.345625
Top3EW+RiskParity,Top3EW,RiskParity,0.30173812174596226,0.18848993898424113,0.44025330262204326,0.42813975014302036,0.1531772715472313,0.007404558457339485,0.16058183000457077,0.24007805537224114,220.21084758927825,2,-0.23429374024677074,0.5423728813559322,0.1625,0.225,0.1625,0.7,0.55625,0.33437500000000003
Top3ICwt+HRP,Top3ICwt,HRP,0.23975714976762866,0.18511640408397517,0.30784962880594213,0.6013208617531458,0.1254649517494697,0.04786830391459766,0.17333325566406738,0.17277261497017188,161.068099855684,2,-0.23465445427160914,0.559322033898305,0.05,0.5375,0.05,0.6125,0.55625,0.333125
All6ICwt+MinVariance,All6ICwt,MinVariance,0.2565686062752117,0.337002183678064,0.16001321383112607,0.4748135815760341,0.1246892457729107,0.026145635885762433,0.15083488165867312,0.1943663041139497,185.61350434349114,2,-0.2158025979795104,0.5254237288135594,0.0625,0.375,0.075,0.775,0.55625,0.333125
Top3ICwt+InverseVol,Top3ICwt,InverseVol,0.28423844472650234,0.1507081855485284,0.4539609689320631,0.3319848970784148,0.1254649517494697,0.010083323590545716,0.13554827534001543,0.2312656459925444,241.45845260943588,2,-0.23600250375035614,0.5423728813559322,0.125,0.075,0.1375,0.8625,0.55625,0.314375
Top3EW+MinVariance,Top3EW,MinVariance,0.19643833367413496,0.24903128263782762,0.13533154996858762,0.5434319276482371,0.1531772715472313,0.021113502245663093,0.17429077379289437,0.12785057154109938,128.88195707843857,2,-0.25753362316188744,0.559322033898305,0.0375,0.4875,0.025,0.6,0.55625,0.313125
Top3ICwt+TO_MVO,Top3ICwt,TO_MVO,0.2761060260854835,0.21563509168371991,0.3364728518565703,0.6408692127578828,0.1254649517494697,0.014994144636265323,0.14045909638573503,0.22456080739435838,241.04604635203575,5,-0.25909753283151815,0.559322033898305,0.1125,0.5875,0.125,0.825,0.01875,0.298125
Top3ICwt+MaxSharpe,Top3ICwt,MaxSharpe,0.25980406824932767,0.2389047164324257,0.27913041053935966,0.8558892453559379,0.1254649517494697,0.058716388544589555,0.18418134029405925,0.19232728685540276,173.26231082314683,4,-0.2616092463435781,0.559322033898305,0.075,0.8375,0.0625,0.525,0.0875,0.29500000000000004
Top3ICwt+BlackLitterman,Top3ICwt,BlackLitterman,0.26352651608981154,0.22625552082685454,0.29800875395072096,0.7592244114556057,0.1254649517494697,0.05960824846932863,0.18507320021879833,0.19502503059451978,173.11585490881944,4,-0.25682342629322685,0.5423728813559322,0.0875,0.7375,0.0875,0.4875,0.0875,0.2775
Top3ICwt+RiskParity,Top3ICwt,RiskParity,0.2968684949755316,0.1588660781646889,0.47256004515650923,0.3361817821734661,0.1254649517494697,0.007408178113739377,0.13287312986320907,0.24526299549032216,258.8693532116231,3,-0.23546638278814513,0.559322033898305,0.1375,0.0875,0.1875,0.8875,0.2625,0.275
Top3ICwt+MinVariance,Top3ICwt,MinVariance,0.188245363335427,0.23911076262794506,0.1275030391478655,0.5332383944015916,0.1254649517494697,0.02549067677922414,0.15095562852869385,0.12890413515007618,142.75136543576664,3,-0.2485870780101842,0.576271186440678,0.025,0.4625,0.0375,0.7625,0.2625,0.273125
Top3ICwt+Momentum,Top3ICwt,Momentum,0.4046058510471063,0.24646417963225173,0.6101392589610178,0.4039474202200099,0.1254649517494697,0.0982938462957418,0.22375879804521148,0.31700709054951404,207.84841239414803,3,-0.22547869205866933,0.5932203389830508,0.3625,0.175,0.325,0.1625,0.2625,0.2675
Top3EW+BlackLitterman,Top3EW,BlackLitterman,0.31722737213106195,0.20662723111832423,0.4313422436691876,0.47903314398483615,0.1531772715472313,0.062135455379622236,0.21531272692685352,0.23844990891607076,181.2095891808464,3,-0.23736340019805502,0.4915254237288136,0.1875,0.3875,0.15,0.2125,0.2625,0.23875000000000002
