ric,name,country,industry,total_contribution,avg_weight,months_held,avg_monthly_return,total_return
PEOLES.MX,INDUST PENOLES,MEXICO,BMATR,0.00025160920451633596,0.002857142857142857,2,0.0440316107903588,0.08857736270142125
B3SA3.SA,B3 BRASIL BOLSA BALCAO ON,BRAZIL,FINAN,0.00024783504846472015,0.0034172562305554636,17,-0.023695735919456024,-0.4410506784566912
IRAO.MM,INTER RAO EES,RUSSIAN FEDERATION,UTILS,0.0002005573135633732,0.004,3,0.016713109463614432,0.050645854154472314
1211.HK,BYD 'H',CHINA,CODIS,0.00018885968221283856,0.0016225441225441225,14,0.008497753625763802,-0.02030965819218289
005830.KS,DB INSURANCE,SOUTH KOREA,FINAN,0.00018712374831213123,0.0013820420618434071,23,0.012249156533281845,0.21280798235566878
600036.SS,CHINA MERCHANTS BANK 'A',CHINA,FINAN,0.00018635278086825418,0.0008794466403162055,4,0.05365559464225455,0.22514895847396965
1776.HK,GF SECURITIES 'H',CHINA,FINAN,0.00018071064520715127,0.001,3,0.060236881735717084,0.14147680588507372
8210.SE,BUPA ARABIA FOR COOP.IN.,SAUDI ARABIA,FINAN,0.00017581260884598162,0.0008653846153846154,24,0.008021950446539743,0.13796082898243012
2308.TW,DELTA ELECTRONICS,TAIWAN,INDUS,0.0001712403303570671,0.0022222222222222222,1,0.0770581486606802,0.07705814866068028
6886.HK,HUATAI SECURITIES 'H',CHINA,FINAN,0.0001622372493480512,0.001,3,0.054079083116017064,0.13441477385569334
316140.KS,WOORI FINANCIAL GROUP,SOUTH KOREA,FINAN,0.00016023809470783982,0.0009393939393939394,3,0.05931824712421743,0.18264945574822122
HDFL.NS,HDFC LIFE INSURANCE COMPANY,INDIA,FINAN,0.00011593436548351656,0.0008992241979619258,62,0.002731838269750306,-0.03446945255942835
BPI.PS,BANK OF THE PHILP.ISLE.,PHILIPPINES,FINAN,9.557416185060436e-05,0.0008695652173913044,1,0.109910286128195,0.10991028612819509
LICH.NS,LIC HOUSING FINANCE,INDIA,FINAN,9.497712535866476e-05,0.0010000000899801373,27,0.003517673406270227,0.02016490969985263
6690.HK,HAIER SMART HOME H 'H',CHINA,CODIS,8.648139967994233e-05,0.0016666666666666663,3,0.017296279935988465,0.044923058536092686
EDU,NEW ORNTL.ED.& TGP. ADR 1:10,CHINA,CODIS,8.510641871471464e-05,0.0016666666666666666,4,0.0127659628072072,0.018296974014657685
MUTT.NS,MUTHOOT FINANCE,INDIA,FINAN,8.39552616070198e-05,0.0007692307692307693,2,0.054570920044562855,0.10449992025135879
4002.SE,MOUWASAT MEDICAL SVS.,SAUDI ARABIA,HLTHC,8.227601695150889e-05,0.0022222222222222222,1,0.037024207628179,0.03702420762817904
BKOM.PR,KOMERCNI BANKA,CZECH REPUBLIC,FINAN,8.032915737692392e-05,0.0008695652173913044,3,0.030792843661154163,0.09287743935251269
2331.HK,LI NING,CHINA,CODIS,7.460707345069057e-05,0.0016601107234320788,16,0.002714842049239689,-0.07581733735297969
GFINBURO.MX,GRUPO FINANCIERO INBURSA SRIES 'O',MEXICO,FINAN,7.201112565341154e-05,0.0008668639053254438,26,0.004202827263821754,0.024044611581152342
601318.SS,PING AN INSURANCE (GP.) CO. OF CHINA 'A',CHINA,FINAN,7.153658378749555e-05,0.0008695652173913044,12,0.006855589279634992,0.04635718323426996
JGS.PS,JG SUMMIT HOLDINGS 1 B,PHILIPPINES,INDUS,6.04787520159776e-05,0.002,2,0.0151196880039944,0.030356326054022276
NTPC.NS,NTPC,INDIA,UTILS,5.9463303227519316e-05,0.00571875,32,0.011271518448861626,0.3572656707919766
2880.TW,HUA NAN FINANCIAL HDG.,TAIWAN,FINAN,4.32472340903616e-05,0.001,3,0.014415744696787199,0.03963797156557236
0371.HK,BEIJING ENTERPRISES WATER GROUP,HONG KONG,UTILS,3.673187792024564e-05,0.0045000000000000005,4,0.004300380460051699,0.010173026203925906
COLG.NS,COLGATE,INDIA,COSTP,2.6866784575531425e-05,0.0022222222222222222,14,0.0008635752184992247,-0.05427935820724128
016360.KS,SAMSUNG SECURITIES,SOUTH KOREA,FINAN,2.5291330248281886e-05,0.0010242914979757087,26,0.000750092791551415,-0.10166070737148925
TAMO.NS,TATA MOTORS,INDIA,CODIS,2.196691276858359e-05,0.004012267194085376,33,0.010949290659294314,0.22343481260654063
1303.TW,NAN YA PLASTICS,TAIWAN,BMATR,1.823769406132486e-05,0.002857142857142857,3,0.0021277309738212333,0.005602705239099004
ISCTR.IS,TURKIYE IS BANKASI 'C',TURKEY,FINAN,3.5012237031159132e-06,0.0008695652173913044,1,0.0040264072585833,0.0040264072585833866
GLEN.NS,GLENMARK PHARMACEUTICALS,INDIA,HLTHC,0.0,0.02857142857142857,1,,0.0
RELI.NS,RELIANCE INDUSTRIES,INDIA,ENEGY,0.0,0.004693350858656086,134,,0.0
ZOMT.NS,ZOMATO,INDIA,TECNO,0.0,0.016666666666666666,14,,0.0
UNSP.NS,UNITED SPIRITS,INDIA,COSTP,0.0,0.005192770168052683,110,,0.0
AKBNK.IS,AKBANK,TURKEY,FINAN,-5.64754305849e-06,0.0008695652173913044,1,-0.0064946745172635,-0.006494674517263488
COMI.CA,COML.INBLK.EGY. (CIB),EGYPT,FINAN,-7.505107725612627e-06,0.0014639061424238113,15,0.003536695418617908,-0.06603277894554316
KBANK.BK,KASIKORNBANK,THAILAND,FINAN,-1.1682797595684e-05,0.001,1,-0.011682797595684,-0.011682797595684025
SSWJ.J,SIBANYE STILLWATER,SOUTH AFRICA,BMATR,-1.3210946230434116e-05,0.021192845637684476,1,-0.0006233682090782,-0.0006233682090781567
300059.SZ,EAST MONEY INFO.'A',CHINA,FINAN,-1.3223462009099616e-05,0.0007692307692307693,2,-0.00859525030591475,-0.01740204931370437
PZU.WA,PZU GROUP,POLAND,FINAN,-1.398254421022339e-05,0.0008695652173913044,1,-0.0160799258417569,-0.01607992584175688
053000.KS^K14,WOORIFINANCE HOLDINGS DEAD,SOUTH KOREA,FINAN,-2.309110633110958e-05,0.0010526315789473688,12,-0.0019942319104140007,-0.038425155386212495
VTBR.MM,VTB BANK,RUSSIAN FEDERATION,FINAN,-2.6379554975876506e-05,0.001,5,-0.005275910995175302,-0.045378744417649886
GARAN.IS,TKI.GARANTI BKSI.,TURKEY,FINAN,-2.696688364829878e-05,0.0008695652173913044,1,-0.0310119161955436,-0.031011916195543554
2313.HK,SHENZHOU INTL.GP.HDG.,CHINA,CODIS,-2.9036647915837716e-05,0.0016666666798083665,1,-0.0174219886121299,-0.017421988612129846
MOEX.MM,MOSCOW EXCHANGE,RUSSIAN FEDERATION,FINAN,-3.5129853000252486e-05,0.001,8,-0.005018550428607498,-0.07220540826332777
MRF.NS,MRF,INDIA,CODIS,-3.53050425970195e-05,0.0016666666666666666,1,-0.0211830255582117,-0.02118302555821172
ICIR.NS,ICICI PRUDENTIAL LIFE INSURANCE COMPANY,INDIA,FINAN,-4.1088979954413464e-05,0.0007692307692307693,2,-0.02670783697036875,-0.057936712295155846
ZLAB.O,ZAI LABORATORY ADR 1:10,CHINA,HLTHC,-4.4372862826356994e-05,0.0016666666666666666,2,-0.013311858847907101,-0.03320345305790806
COPEC.SN,EMPRESAS COPEC,CHILE,ENEGY,-4.568876707644116e-05,0.004272074996525894,91,0.004333124719185123,0.11674494072277275
PAGE.NS,PAGE INDUSTRIES,INDIA,CODIS,-4.695676989436025e-05,0.0016740277266593055,38,-0.0007502055493054908,-0.09696474086146256
2881.TW,FUBON FINL.HLDG.,TAIWAN,FINAN,-4.709226954827196e-05,0.0008026755852842811,3,-0.021632179267404,-0.06692347029284118
1590.TW,AIRTAC INTERNATIONAL GP.,TAIWAN,INDUS,-5.568629343174511e-05,0.0022222222222222222,1,-0.0250588320442853,-0.025058832044285273
0175.HK,GEELY AUTOMOBILE HDG.,HONG KONG,CODIS,-6.488793806178e-05,0.016666666666666666,1,-0.0038932762837068,-0.003893276283706837
1109.HK,CHINA RESOURCES LAND,HONG KONG,RLEST,-6.526868259800075e-05,0.007724137879323048,29,-0.0013481609316103598,-0.14951305340843046
BIMAS.IS,BIM BIRLESIK MAGAZALAR,TURKEY,COSTP,-6.8068161979917e-05,0.01,1,-0.0068068161979917,-0.0068068161979917274
1180.SE,THE SAUDI NATIONAL BANK,SAUDI ARABIA,FINAN,-7.58561279671775e-05,0.001,1,-0.0758561279671775,-0.07585612796717744
011200.KS,HMM,SOUTH KOREA,INDUS,-7.864374048402201e-05,0.020000000000000004,1,-0.0039321870242011,-0.0039321870242010615
4190.SE,JARIR MARKETING,SAUDI ARABIA,CODIS,-7.962776409114531e-05,0.0016666666666666666,2,-0.0238883292273436,-0.04988533185054689
RAIL3.SA,RUMO ON,BRAZIL,INDUS,-8.719624581074646e-05,0.0022222222222222222,1,-0.0392383106148359,-0.03923831061483596
2628.HK,CHINA LIFE INSURANCE 'H',CHINA,FINAN,-9.021133620787315e-05,0.001,7,-0.012887333743981886,-0.11183288466666119
SCB.BK,SCB X PUBLIC COMPANY LIMITED,THAILAND,FINAN,-9.362995098136338e-05,0.0008695652173913044,5,-0.02153488872571358,-0.11750360153704742
BLKI.NS,BALKRISHNA INDUSTRIES,INDIA,CODIS,-9.976461928522549e-05,0.0016666666666666666,1,-0.0598587715711353,-0.05985877157113528
